wallet,credit_score
0x00983187e18f62a2ac1dcebd63f2e5f50394cc74,770.84
0x00988fe82c5550c2240c9874d55cbd100cd1a722,699.43
0x0098b56dc561854ab6f8e0d6796137dc6d808b68,701.99
0x0098bc1587f679bd2e678bbf64ccfea4a0d3b899,404.25
0x0098bf50fb96f428faf3e60e67c06eb1ee07e336,600.03
0x009990e99b12f7ebcc594fb721fe56e4f88ac27e,702.12
0x0099a7b429f7541cbda34d6aa8cd82181fbb8bb5,586.5
0x009ae9ce6f09789a764aaab19781864db4edbb16,624.62
0x009b05514d08da09a84f47de870af880bcd375a5,705.98
0x009b21f6f8273fe12dbc9c8025ca27db7de16b8c,763.73
0x009b56330ae5ec5042b9ca46ddb3043cc0d006f3,414.67
0x009ba176a4d59d90357e9ed631c3038dcfa7f18b,748.9
0x009bd2e8e42fea1fab886ed083f5332eefa35b85,622.11
0x009c52172355d5729543a64832249638822ff8c9,687.97
0x009c8da3408c57e8c4b6872fbbdf832dadf45c5e,606.91
0x009d1b5cff376266cce5f3c471aecb61c09b676e,600.0
0x009d3342ac1246d0e95a7f6772e11ce9f07b2560,663.12
0x009e7a5a378a128d9afdb80dd8aeaa04c30a67d0,604.37
0x009e8675b19be214d3f620e90c5e0de7a13c3c5a,792.18
0x009f79b5d57ee262330848096916e6a7e2a28eca,601.66
0x009fd1cb55a0af9a9a645b8140a7014b46e6abda,601.62
0x009ff94a057c75f661e3e28f89b9b9d84e57fc67,846.95
